dataset,file,query,ref
default,datasets/HPRC/HG002_2022-02-01_verkko_1.bed,HG002_2022-02-01_verkko_1,CHM13_v1.1
default,datasets/HPRC/HG002_2022-02-01_verkko_2.bed,HG002_2022-02-01_verkko_2,CHM13_v1.1
default,datasets/HPRC/T2T-CHM13v2_1.bed,T2T-CHM13v2_1,CHM13_v1.1
default,datasets/alignment-tables/GRCh38_to_CHM13_v1.1.tbl,GRCh38,CHM13_v1.1
default,datasets/alignment-tables/CHM1_to_CHM13_v1.1.tbl,CHM1,CHM13_v1.1
default,datasets/alignment-tables/CHM1_2.bed,CHM1_2,CHM13_v1.1
default,https://eichlerlab.gs.washington.edu/help/mvollger/share/SafFire/CHM1_1.bed,test1,test2
HPRC,datasets/HPRC/HG002_1.bed,HG002_1,CHM13_v1.1
HPRC,datasets/HPRC/HG002_2.bed,HG002_2,CHM13_v1.1
HPRC,datasets/HPRC/HG00438_1.bed,HG00438_1,CHM13_v1.1
HPRC,datasets/HPRC/HG00438_2.bed,HG00438_2,CHM13_v1.1
HPRC,datasets/HPRC/HG00514_1.bed,HG00514_1,CHM13_v1.1
HPRC,datasets/HPRC/HG00514_2.bed,HG00514_2,CHM13_v1.1
HPRC,datasets/HPRC/HG005_1.bed,HG005_1,CHM13_v1.1
HPRC,datasets/HPRC/HG005_2.bed,HG005_2,CHM13_v1.1
HPRC,datasets/HPRC/HG00621_1.bed,HG00621_1,CHM13_v1.1
HPRC,datasets/HPRC/HG00621_2.bed,HG00621_2,CHM13_v1.1
HPRC,datasets/HPRC/HG00673_1.bed,HG00673_1,CHM13_v1.1
HPRC,datasets/HPRC/HG00673_2.bed,HG00673_2,CHM13_v1.1
HPRC,datasets/HPRC/HG00733_1.bed,HG00733_1,CHM13_v1.1
HPRC,datasets/HPRC/HG00733_2.bed,HG00733_2,CHM13_v1.1
HPRC,datasets/HPRC/HG00735_1.bed,HG00735_1,CHM13_v1.1
HPRC,datasets/HPRC/HG00735_2.bed,HG00735_2,CHM13_v1.1
HPRC,datasets/HPRC/HG00741_1.bed,HG00741_1,CHM13_v1.1
HPRC,datasets/HPRC/HG00741_2.bed,HG00741_2,CHM13_v1.1
HPRC,datasets/HPRC/HG01071_1.bed,HG01071_1,CHM13_v1.1
HPRC,datasets/HPRC/HG01071_2.bed,HG01071_2,CHM13_v1.1
HPRC,datasets/HPRC/HG01106_1.bed,HG01106_1,CHM13_v1.1
HPRC,datasets/HPRC/HG01106_2.bed,HG01106_2,CHM13_v1.1
HPRC,datasets/HPRC/HG01109_1.bed,HG01109_1,CHM13_v1.1
HPRC,datasets/HPRC/HG01109_2.bed,HG01109_2,CHM13_v1.1
HPRC,datasets/HPRC/HG01123_1.bed,HG01123_1,CHM13_v1.1
HPRC,datasets/HPRC/HG01123_2.bed,HG01123_2,CHM13_v1.1
HPRC,datasets/HPRC/HG01175_1.bed,HG01175_1,CHM13_v1.1
HPRC,datasets/HPRC/HG01175_2.bed,HG01175_2,CHM13_v1.1
HPRC,datasets/HPRC/HG01243_1.bed,HG01243_1,CHM13_v1.1
HPRC,datasets/HPRC/HG01243_2.bed,HG01243_2,CHM13_v1.1
HPRC,datasets/HPRC/HG01258_1.bed,HG01258_1,CHM13_v1.1
HPRC,datasets/HPRC/HG01258_2.bed,HG01258_2,CHM13_v1.1
HPRC,datasets/HPRC/HG01358_1.bed,HG01358_1,CHM13_v1.1
HPRC,datasets/HPRC/HG01358_2.bed,HG01358_2,CHM13_v1.1
HPRC,datasets/HPRC/HG01361_1.bed,HG01361_1,CHM13_v1.1
HPRC,datasets/HPRC/HG01361_2.bed,HG01361_2,CHM13_v1.1
HPRC,datasets/HPRC/HG01891_1.bed,HG01891_1,CHM13_v1.1
HPRC,datasets/HPRC/HG01891_2.bed,HG01891_2,CHM13_v1.1
HPRC,datasets/HPRC/HG01928_1.bed,HG01928_1,CHM13_v1.1
HPRC,datasets/HPRC/HG01928_2.bed,HG01928_2,CHM13_v1.1
HPRC,datasets/HPRC/HG01952_2.bed,HG01952_2,CHM13_v1.1
HPRC,datasets/HPRC/HG01952_1.bed,HG01952_1,CHM13_v1.1
HPRC,datasets/HPRC/HG01978_2.bed,HG01978_2,CHM13_v1.1
HPRC,datasets/HPRC/HG01978_1.bed,HG01978_1,CHM13_v1.1
