#reference_name	reference_start	reference_end	reference_length	strand	query_name	query_start	query_end	query_length	perID_by_matches	perID_by_events	perID_by_all	matches	mismatches	deletion_events	insertion_events	deletions	insertions
chr1	12612	100000	248387328	+	chr1	585988	673775	248956422	99.449585	99.37466	82.781204	79138	438	27	33	7812	8211
chr1	100000	200000	248387328	+	chr1	673775	773463	248956422	99.78818	99.75914	99.32751	99402	211	16	13	387	75
chr1	200000	300000	248387328	+	chr1	773463	871026	248956422	99.881035	99.86157	97.336494	97391	116	12	7	2493	56
chr1	300000	400000	248387328	+	chr1	871026	971290	248956422	99.797485	99.74598	97.099625	98560	200	24	27	1240	1504
chr1	400000	500000	248387328	+	chr1	971290	1069906	248956422	99.72846	99.64131	97.781364	98062	267	42	44	1671	287
chr1	500000	600000	248387328	+	chr1	1069906	1171403	248956422	99.94283	99.93281	97.90152	99652	57	4	6	291	1788
chr1	600000	700000	248387328	+	chr1	1171403	1270993	248956422	99.99195	99.9839	99.14984	99365	8	6	2	627	217
chr1	700000	800000	248387328	+	chr1	1270993	1369450	248956422	99.81088	99.76679	95.99747	97112	184	26	17	2704	1161
chr1	800000	900000	248387328	+	chr1	1369450	1465627	248956422	99.94488	99.92617	96.061264	96092	53	7	11	3855	32
chr1	900000	1000000	248387328	+	chr1	1465627	1565496	248956422	99.98798	99.985985	99.853004	99855	12	1	1	133	2
chr1	1000000	1100000	248387328	+	chr1	1565496	1665560	248956422	99.92597	99.90498	99.77824	99884	74	8	13	42	106
chr1	1100000	1200000	248387328	+	chr1	1665560	1765601	248956422	99.74667	99.69975	99.44894	99618	253	19	28	129	170
chr1	1200000	1300000	248387328	+	chr1	1765601	1865610	248956422	99.920975	99.886	99.84007	99885	79	16	19	36	45
chr1	1300000	1400000	248387328	+	chr1	1865610	1964926	248956422	99.86108	99.814514	97.79247	98478	137	24	22	1385	701
chr1	1400000	1500000	248387328	+	chr1	1964926	2064481	248956422	99.92061	99.901535	99.380295	99428	79	12	7	493	48
chr1	1500000	1600000	248387328	+	chr1	2064481	2165032	248956422	99.69415	99.63421	98.603546	99419	305	28	32	276	827
chr1	1600000	1700000	248387328	+	chr1	2165032	2264585	248956422	99.91358	99.891495	99.385254	99426	86	13	9	488	41
chr1	1700000	1800000	248387328	+	chr1	2264585	2360742	248956422	99.81159	99.772125	95.803696	95888	181	23	15	3931	88
chr1	1800000	1900000	248387328	+	chr1	2360742	2458690	248956422	99.8845	99.85286	97.609726	97721	113	19	12	2166	114
chr1	1900000	2000000	248387328	+	chr1	2458690	2558356	248956422	99.92054	99.909485	99.1012	99343	79	6	5	578	244
chr1	2000000	2100000	248387328	+	chr1	2558356	2655258	248956422	99.92123	99.90051	95.99303	96401	76	12	8	3523	425
chr1	2100000	2200000	248387328	+	chr1	2655258	2663027	248956422	96.36199	96.03871	7.439652	7443	281	21	5	92276	45
chr1	2242083	2300000	248387328	+	chr1	2746297	2800230	248956422	99.815865	99.788025	92.39218	53666	99	9	6	4152	168
chr1	2200000	2259518	248387328	+	chr1	2663027	2702781	248956422	99.24454	99.18612	64.35083	38754	295	16	7	20469	705
chr1	2300000	2400000	248387328	+	chr1	2800230	2898726	248956422	99.881935	99.85957	97.89713	98136	116	12	10	1748	244
chr1	2400000	2500000	248387328	+	chr1	2898726	2998964	248956422	99.87686	99.84688	99.42101	99767	123	16	14	110	348
chr1	2500000	2600000	248387328	+	chr1	2998964	3097950	248956422	99.95756	99.94241	98.89229	98918	42	10	5	1040	26
chr1	2600000	2700000	248387328	+	chr1	3097950	3196957	248956422	99.79729	99.76291	98.12545	98463	200	21	13	1337	344
chr1	2700000	2800000	248387328	+	chr1	3196957	3295753	248956422	99.915955	99.8937	98.63553	98674	83	10	12	1243	39
chr1	2800000	2900000	248387328	+	chr1	3295753	3395165	248956422	99.91944	99.8963	99.11894	99225	80	12	11	695	107
chr1	2900000	3000000	248387328	+	chr1	3395165	3492986	248956422	99.876175	99.85471	97.49658	97597	121	10	11	2282	103
chr1	3000000	3100000	248387328	+	chr1	3492986	3589807	248956422	99.87904	99.85426	96.51927	96610	117	12	12	3273	94
chr1	3100000	3200000	248387328	+	chr1	3589807	3690152	248956422	99.864944	99.83798	99.44215	99825	135	8	19	40	385
chr1	3200000	3300000	248387328	+	chr1	3690152	3788406	248956422	99.859474	99.82898	98.01303	98064	138	16	14	1798	52
chr1	3300000	3400000	248387328	+	chr1	3788406	3888096	248956422	99.810196	99.77012	99.27383	99387	189	19	21	424	114
chr1	3400000	3500000	248387328	+	chr1	3888096	3988109	248956422	99.88693	99.84497	99.75218	99826	113	19	23	61	74
chr1	3500000	3600000	248387328	+	chr1	3988109	4088693	248956422	99.75028	99.66397	97.81778	99063	248	35	51	689	1273
chr1	3600000	3700000	248387328	+	chr1	4088693	4187010	248956422	99.91454	99.88812	98.18543	98209	84	18	8	1707	24
chr1	3700000	3800000	248387328	+	chr1	4187010	4287015	248956422	99.874954	99.85497	99.79409	99837	125	13	7	38	43
chr1	3800000	3900000	248387328	+	chr1	4287015	4386459	248956422	99.90841	99.889305	99.17773	99265	91	7	12	644	88
chr1	3900000	4000000	248387328	+	chr1	4386459	4486504	248956422	99.883934	99.86795	99.72727	99828	116	5	11	56	101
