#reference_name	reference_start	reference_end	reference_length	strand	query_name	query_start	query_end	query_length	perID_by_matches	perID_by_events	perID_by_all	matches	mismatches	deletion_events	insertion_events	deletions	insertions
chr1	143500874	143645855	248387497	-	chr1	144420924	144565912	248956422	99.99034	99.984825	99.98276	144965	14	2	6	2	9
chr1	16397535	16451847	248387497	+	chr1	16681767	16736078	248956422	99.66805	99.61294	99.35108	54045	180	13	17	87	86
chr1	16459186	16468055	248387497	+	chr1	16736078	16744928	248956422	98.72143	98.63215	98.24344	8725	113	5	3	31	12
chr1	16468055	16520532	248387497	+	chr1	16746692	16799163	248956422	99.59927	99.55558	99.337685	52195	210	13	10	72	66
chr1	108344245	108417290	248387497	-	chr1	108310639	108383739	248956422	99.90825	99.88773	99.77571	72957	67	9	6	21	76
chr1	142228753	142237363	248387497	+	chr1	143266038	143274718	248956422	98.343056	98.1598	96.651375	8428	142	3	13	40	110
chr1	142239660	142276784	248387497	+	chr1	143274718	143311840	248956422	99.99461	99.986534	99.98384	37119	2	2	1	3	1
chr1	227986696	228022290	248387497	+	chr1	228608364	228643900	248956422	99.36367	99.288185	99.09025	35290	226	15	12	78	20
chr1	12641581	12670788	248387497	+	chr1	13122521	13151676	248956422	99.68082	99.65004	99.38067	29044	93	5	4	70	18
chr7	19545	20442	160567423	+	chr1	89153	90047	248956422	97.42729	97.318436	97.10145	871	23	1	0	3	0
chr7	20442	40766	160567423	+	chr1	90283	110602	248956422	99.36924	99.290955	99.09091	20165	128	10	6	31	26
chr1	12623221	12641665	248387497	-	chr1	13104168	13122605	248956422	99.821014	99.79936	99.78313	18404	33	4	0	7	0
chr10	41413983	41422701	134758122	+	chr10	40518506	40527228	133797422	93.32874	93.136246	93.093575	8128	581	6	12	9	13
chr10	41423040	41425649	134758122	+	chr10	40527228	40529838	133797422	94.74895	94.71265	94.71265	2472	137	0	1	0	1
chr10	41425989	41427230	134758122	+	chr10	40529838	40531080	133797422	95.89041	95.8132	95.8132	1190	51	0	1	0	1
