#reference_name	reference_start	reference_end	reference_length	strand	query_name	query_start	query_end	query_length	perID_by_matches	perID_by_events	perID_by_all	matches	mismatches	deletion_events	insertion_events	deletions	insertions
chr1	143500705	143645686	248387328	-	chr1_RagTag	139484406	139629395	244099130	99.99034	99.983444	99.97931	144963	14	3	7	4	12
chr1	137829668	137923244	248387328	+	chr1_RagTag	137580916	137676451	244099130	99.62796	99.593185	93.69965	91315	341	17	15	1920	3879
chr1	139319308	139405072	248387328	+	chr1_RagTag	133327108	133416230	244099130	98.94588	98.90665	89.78176	82320	877	11	22	2567	5925
chr1	108344076	108417121	248387328	-	chr1_RagTag	108946264	109019388	244099130	99.93974	99.91922	99.76896	72978	44	9	6	23	102
chr1	103643405	103715051	248387328	-	chr1_RagTag	104301574	104373208	244099130	99.89807	99.87855	99.8451	71548	73	7	7	25	13
chr1	141904304	141976499	248387328	+	chr1_RagTag	133843126	133912235	244099130	99.51164	99.49434	94.98319	68670	337	7	5	3188	102
chr1	141096598	141158173	248387328	+	chr1_RagTag	137668822	137731555	244099130	99.146454	99.08178	96.37814	60751	523	22	18	301	1459
chr1	131408156	131456618	248387328	+	chr1_RagTag	133982796	134030397	244099130	99.28504	99.2746	97.33446	47215	340	3	2	907	46
chr1	142005236	142053572	248387328	+	chr1_RagTag	137998730	138046045	244099130	99.1018	99.03567	93.466736	46009	417	15	16	1910	889
chr1	138888275	138937243	248387328	+	chr1_RagTag	131562681	131608476	244099130	99.1236	99.08452	92.099266	45241	400	10	8	3327	154
chr1	132653820	132702346	248387328	+	chr1_RagTag	131324859	131370548	244099130	98.642715	98.59413	88.85347	44042	606	16	6	3878	1041
chr1	16396243	16436845	248387328	-	chr1_RagTag	16965668	17006267	244099130	99.70416	99.65503	99.52016	40443	120	7	13	39	36
chr1	16396440	16436845	248387328	-	chr1_RagTag	16682557	16722937	244099130	99.712494	99.66803	99.488106	40231	116	9	9	58	33
chr1	131402992	131439438	248387328	+	chr1_RagTag	131457622	131495003	244099130	99.37949	99.36585	96.767815	36196	226	2	3	24	959
chr1	133873636	133912274	248387328	+	chr1_RagTag	131149187	131184228	244099130	99.900116	99.88872	90.59993	35006	35	4	0	3597	0
chr1	16401864	16436845	248387328	+	chr1_RagTag	17242899	17277899	244099130	99.45011	99.37327	99.02752	34724	192	13	14	65	84
chr1	16094495	16129824	248387328	-	chr1_RagTag	17105396	17140736	244099130	99.04586	98.936295	98.37818	34879	336	21	18	114	125
chr1	142005166	142041411	248387328	+	chr1_RagTag	137985667	138020991	244099130	98.28335	98.18453	92.90063	34180	597	17	18	1468	547
chr1	139256617	139288049	248387328	+	chr1_RagTag	133188062	133220807	244099130	98.79237	98.759964	89.32174	30105	368	3	7	959	2272
chr1	133940625	133969500	248387328	+	chr1_RagTag	133175896	133205703	244099130	99.242455	99.21798	92.954025	28166	215	3	4	494	1426
chr1	123041809	123073949	248387328	+	chr1_RagTag	123627890	123661099	244099130	98.16563	98.087395	83.78478	29540	552	12	12	2048	3117
chr1	133413174	133441956	248387328	+	chr1_RagTag	133650079	133680585	244099130	99.17271	99.14466	90.47834	28051	234	3	5	497	2221
chr1	131334605	131367205	248387328	+	chr1_RagTag	131396935	131425317	244099130	99.693695	99.682655	79.72259	27014	83	2	1	5503	1285
chr1	135539439	135566113	248387328	+	chr1_RagTag	135626020	135654470	244099130	99.94376	99.94002	93.70474	26659	15	0	1	0	1776
chr1	131265131	131294012	248387328	+	chr1_RagTag	132974486	133001581	244099130	99.39103	99.37636	93.24469	26930	165	4	0	1786	0
chr1	139362415	139389121	248387328	+	chr1_RagTag	131273954	131302497	244099130	99.041016	99.00022	92.59298	26439	256	3	8	11	1848
chr1	133509094	133534239	248387328	+	chr1_RagTag	134828578	134853700	244099130	99.78107	99.7771	99.6898	25067	55	1	0	23	0
chr1	137711722	137739026	248387328	+	chr1_RagTag	135603460	135632098	244099130	98.389496	98.34195	91.041435	26453	433	8	5	418	1752
chr1	140022120	140052941	248387328	+	chr1_RagTag	130698480	130728246	244099130	97.22048	97.126	87.97987	27982	800	9	19	2039	984
chr1	133878760	133906334	248387328	+	chr1_RagTag	131247113	131273849	244099130	99.362305	99.31764	81.43867	24307	156	5	6	3111	2273
chr1	133469098	133498460	248387328	+	chr1_RagTag	133633522	133660262	244099130	98.282425	98.22136	83.285034	25292	442	10	6	3628	1006
chr1	16526021	16549459	248387328	+	chr1_RagTag	17084239	17107667	244099130	99.210045	99.15923	99.09157	23234	185	8	4	19	9
chr1	123042070	123071702	248387328	+	chr1_RagTag	122993041	123023414	244099130	95.62843	95.48984	89.06914	27672	1265	14	28	695	1436
chr1	131344915	131367411	248387328	+	chr1_RagTag	132828885	132853120	244099130	99.737686	99.72438	92.549194	22433	59	1	2	4	1743
chr1	133937372	133960189	248387328	+	chr1_RagTag	131843539	131866748	244099130	98.7203	98.66732	93.18326	22063	286	1	11	468	860
chr1	133575241	133595807	248387328	+	chr1_RagTag	131293614	131315325	244099130	97.93079	97.83743	87.181435	19499	412	3	16	655	1800
chr1	133383589	133401273	248387328	+	chr1_RagTag	131035226	131054218	244099130	99.819046	99.8134	92.9444	17652	32	0	1	0	1308
chr1	140672983	140695026	248387328	+	chr1_RagTag	133900605	133922450	244099130	97.82176	97.69717	78.962326	19176	427	11	14	2440	2242
chr1	130061846	130081896	248387328	+	chr1_RagTag	133258766	133278008	244099130	98.17337	98.08431	89.36263	18381	342	13	4	1327	519
chr10	42867714	42889669	134758134	-	chr1_RagTag	127734207	127755662	244099130	94.97049	94.81785	84.97228	19468	1031	13	20	1456	956
chr1	143627011	143643429	248387328	+	chr1_RagTag	17196002	17212409	244099130	97.911064	97.803535	97.42904	16030	342	10	8	46	35
chr1	137845249	137860099	248387328	+	chr1_RagTag	136153271	136168186	244099130	99.37951	99.33931	98.64105	14735	92	1	5	23	88
chr1	131440396	131454842	248387328	+	chr1_RagTag	131884232	131898702	244099130	99.48083	99.46706	99.31583	14371	75	0	2	0	24
chr1	133599287	133613043	248387328	+	chr1_RagTag	134478459	134492220	244099130	99.62199	99.61474	99.585785	13704	52	0	1	0	5
chr1	131259725	131272513	248387328	+	chr1_RagTag	134056356	134069459	244099130	99.42893	99.413376	96.963684	12710	73	1	1	5	320
