#reference_name	reference_start	reference_end	reference_length	strand	query_name	query_start	query_end	query_length	perID_by_matches	perID_by_events	perID_by_all	matches	mismatches	deletion_events	insertion_events	deletions	insertions
chr1	12612	500000	248387328	+	chr1	585988	1069906	248956422	99.73997	99.688416	94.98152	472553	1232	121	124	13603	10133
chr1	500000	1000000	248387328	+	chr1	1069906	1565496	248956422	99.936226	99.91979	97.789345	492076	314	44	37	7610	3200
chr1	1000000	1500000	248387328	+	chr1	1565496	2064481	248956422	99.87508	99.84139	99.246216	497293	622	79	89	2085	1070
chr1	1500000	2000000	248387328	+	chr1	2064481	2558356	248956422	99.844894	99.812065	98.101585	491797	764	89	73	7439	1314
chr1	2242083	2500000	248387328	+	chr1	2746297	2998964	248956422	99.86582	99.83927	97.252174	251569	338	37	30	6010	760
chr1	2000000	2259518	248387328	+	chr1	2558356	2702781	248956422	99.54485	99.498314	54.69959	142598	652	47	20	116268	1175
chr1	2500000	3000000	248387328	+	chr1	2998964	3492986	248956422	99.893394	99.87012	98.453514	492877	526	63	52	6597	619
chr1	3000000	3500000	248387328	+	chr1	3492986	3988109	248956422	99.86003	99.82712	98.60061	493712	692	74	89	5596	719
chr1	3500000	4000000	248387328	+	chr1	3988109	4486504	248956422	99.86636	99.83281	98.93785	496202	664	78	89	3134	1529
chr1	4000000	4500000	248387328	+	chr1	4486504	4984242	248956422	99.878334	99.85183	99.2413	496668	605	60	72	2727	465
chr1	4500000	5000000	248387328	+	chr1	4984242	5477602	248956422	99.869156	99.84202	98.38548	492318	645	77	57	7037	397
chr1	5000000	5500000	248387328	+	chr1	5477602	5975500	248956422	99.89166	99.86597	99.32151	496982	539	67	61	2479	377
chr1	5500000	6000000	248387328	+	chr1	5975500	6474357	248956422	99.96728	99.95705	99.45637	497986	163	29	22	1851	708
chr1	6000000	6500000	248387328	+	chr1	6474357	6971354	248956422	99.89651	99.86333	99.1552	496128	514	85	80	3358	355
chr1	6500000	7000000	248387328	+	chr1	6971354	7470581	248956422	99.89701	99.868996	99.68948	498580	514	89	51	906	133
chr1	7000000	7500000	248387328	+	chr1	7470581	7969058	248956422	99.93052	99.90565	99.43554	497653	346	67	57	2001	478
chr1	7500000	8000000	248387328	+	chr1	7969058	8467126	248956422	99.89109	99.85277	99.345726	497126	542	102	89	2332	400
chr1	8000000	8500000	248387328	+	chr1	8467126	8966321	248956422	99.91019	99.87254	99.59172	498352	448	90	98	1200	395
chr1	8500000	9000000	248387328	+	chr1	8966321	9463691	248956422	99.86658	99.823586	99.16136	496255	663	101	113	3082	452
chr1	9000000	9500000	248387328	+	chr1	9463691	9957085	248956422	99.954384	99.92946	98.566284	492999	225	63	60	6776	170
chr1	9500000	10000000	248387328	+	chr1	9957085	10456383	248956422	99.9445	99.91107	99.73549	498849	277	86	81	874	172
chr1	10000000	10500000	248387328	+	chr1	10456383	10960678	248956422	99.911514	99.88393	98.8765	499091	442	67	71	467	4762
chr1	10500000	11000000	248387328	+	chr1	10960678	11457011	248956422	99.9466	99.92404	99.17536	495972	265	75	37	3763	96
chr1	11000000	11500000	248387328	+	chr1	11457011	11955880	248956422	99.9099	99.88244	99.47096	497886	449	81	56	1665	534
chr1	11500000	12000000	248387328	+	chr1	11955880	12455855	248956422	99.94218	99.920586	99.87084	499520	289	61	47	191	166
chr1	12000000	12498290	248387328	+	chr1	12455855	12954384	248956422	99.876686	99.85463	99.6795	497303	614	49	61	373	612
chr1	12399801	12500000	248387328	-	chr1	13245698	13348429	248956422	99.06589	99.00146	96.01941	98948	933	30	35	318	2851
chr1	12670617	13000000	248387328	+	chr1	13224056	13557974	248956422	99.80535	99.76827	97.797745	327642	639	63	59	1102	5637
chr1	12500000	12670619	248387328	-	chr1	13075113	13245697	248956422	99.69717	99.65915	99.448524	169873	516	41	24	230	196
chr1	12752846	12811581	248387328	-	chr1	13004384	13060075	248956422	98.37687	98.26004	92.68959	54609	901	40	26	3225	181
chr1	13000000	13500000	248387328	+	chr1	13557974	14057830	248956422	99.88248	99.850296	99.707214	498902	587	81	80	511	367
chr1	13500000	14000000	248387328	+	chr1	14057830	14556201	248956422	99.92693	99.904076	99.52558	497817	364	51	63	1819	190
chr1	14000000	14500000	248387328	+	chr1	14556201	15055981	248956422	99.92593	99.90633	99.76653	499121	370	50	48	509	289
chr1	14500000	15000000	248387328	+	chr1	15055981	15555303	248956422	99.889	99.863396	99.670135	498559	554	63	65	887	209
chr1	15000000	15500000	248387328	+	chr1	15555303	16058619	248956422	99.93115	99.90016	99.14107	499323	344	90	65	333	3649
chr1	15500000	16000000	248387328	+	chr1	16058619	16558314	248956422	99.87101	99.82483	99.641304	498628	644	112	119	728	423
