#reference_name	reference_start	reference_end	reference_length	strand	query_name	query_start	query_end	query_length	perID_by_matches	perID_by_events	perID_by_all	matches	mismatches	deletion_events	insertion_events	deletions	insertions
chr1	43464969	43613900	248387497	+	chr1	43594283	43743239	248956422	99.88917	99.853615	99.79197	148706	165	27	26	60	85
chr1	43614209	43775911	248387497	+	chr1	43743239	43904942	248956422	99.88303	99.84966	99.73551	161394	189	28	26	119	120
chr1	43776216	43776833	248387497	+	chr1	43904942	43905559	248956422	100	100	100	617	0	0	0	0	0
chr1	43776833	43971045	248387497	+	chr1	43905631	44099846	248956422	99.89849	99.85682	99.75714	193879	197	41	40	136	139
chr1	43971045	44011408	248387497	+	chr1	44099913	44140275	248956422	99.80371	99.7269	99.23415	40168	79	14	17	116	115
chr1	44011408	44484102	248387497	+	chr1	44140359	44613070	248956422	99.91768	99.89442	99.84013	472130	389	57	53	175	192
chr1	44484178	44667498	248387497	+	chr1	44613070	44796270	248956422	99.89569	99.85479	99.72903	182916	191	40	35	213	93
chr1	44667576	44687861	248387497	+	chr1	44796270	44816569	248956422	99.91612	99.87177	99.67023	20250	17	3	6	18	32
chr1	44687913	44688276	248387497	+	chr1	44816569	44816932	248956422	100	100	100	363	0	0	0	0	0
chr1	44688332	44747971	248387497	+	chr1	44816932	44876573	248956422	99.88255	99.84235	99.75201	59531	70	13	11	38	40
chr1	44748370	45369397	248387497	+	chr1	44876573	45497643	248956422	99.92364	99.89129	99.819916	620252	474	98	103	301	344
chr1	45369826	45369945	248387497	+	chr1	45497643	45497762	248956422	99.15966	99.15966	99.15966	118	1	0	0	0	0
chr1	45370298	45575851	248387497	+	chr1	45497762	45703341	248956422	99.94647	99.91973	99.88718	205395	110	22	33	48	74
chr1	45578664	45585975	248387497	+	chr1	45703341	45710646	248956422	99.82199	99.75369	99.68549	7290	13	4	1	8	2
chr1	45587824	45587911	248387497	+	chr1	45710646	45710735	248956422	61.904762	58.426968	56.52174	52	32	3	2	3	5
chr1	45588045	46653754	248387497	+	chr1	45710735	46776357	248956422	99.94592	99.924446	99.86783	1064673	576	115	114	460	373
