#reference_name	reference_start	reference_end	reference_length	strand	query_name	query_start	query_end	query_length	perID_by_matches	perID_by_events	perID_by_all	matches	mismatches	deletion_events	insertion_events	deletions	insertions
chr19	53165102	54718505	61707364	+	114-	4368742	5918645	12947135	99.8865	99.85382	99.18919	1544463	1755	251	255	7185	3685
chr19	54734927	56096590	61707364	+	114-	5918645	7283314	12947135	99.90762	99.88216	99.55747	1359516	1257	163	184	890	3896
chr19	56096590	57379390	61707364	+	114-	7318475	8598946	12947135	99.834236	99.789154	99.13679	1275026	2117	282	295	5657	3328
chr19	57386149	57846296	61707364	+	114-	8598946	9058896	12947135	99.75026	99.708824	98.55216	456127	1142	95	95	2878	2681
chr19	48708811	50745778	61707364	+	114-	0	2035306	12947135	99.91766	99.88465	99.617355	2031398	1674	342	330	3895	2234
chr19	50756494	50763349	61707364	+	114-	2035306	2042160	12947135	99.4005	99.22639	98.951965	6798	41	5	7	16	15
chr19	50774059	50784348	61707364	+	114-	2042160	2052452	12947135	99.649536	99.53326	99.29188	10236	36	6	6	17	20
chr19	50789718	50820785	61707364	+	114-	2052452	2083514	12947135	99.58099	99.46558	99.33447	30896	130	17	19	41	36
chr19	50826164	50831504	61707364	+	114-	2083514	2088854	12947135	99.55039	99.47585	99.47585	5314	24	2	2	2	2
chr19	50847632	50878045	61707364	+	114-	2088854	2119237	12947135	99.54885	99.457146	99.346016	30230	137	20	8	46	16
chr19	50910243	53107284	61707364	+	114-	2119237	4314700	12947135	99.88962	99.85215	99.62291	2190895	2421	428	395	3725	2147
chr19	53112631	53157537	61707364	+	114-	4314700	4359600	12947135	99.718216	99.633995	89.932236	42466	120	22	14	2320	2314
chr19	57847247	58863489	61707364	+	114-	9059914	10075626	12947135	99.818665	99.76109	99.024254	1010083	1835	291	293	4324	3794
chr19	58863489	61707364	61707364	+	114-	10095640	12946844	12947135	99.88339	99.84655	99.36856	2836870	3312	508	540	3693	11022
chr13	45686262	56363165	113566686	+	1148-	36773400	47450199	104682809	99.9224	99.90131	99.7409	10658868	8277	1142	1110	9758	9654
chr13	56363165	57231216	113566686	+	1148-	47469887	48337890	104682809	99.931305	99.91265	99.85075	867081	596	87	75	374	326
chr13	57241868	60108635	113566686	+	1148-	48337890	51200109	104682809	99.91047	99.88858	99.64735	2858155	2561	311	316	6051	1503
chr13	60108635	111542626	113566686	+	1148-	51206165	102647656	104682809	99.90701	99.88426	99.68434	51332575	47780	5924	5778	53636	61136
chr13	26282017	28864285	113566686	+	1148-	17373484	19954995	104682809	99.93016	99.91076	99.80372	2578453	1802	260	241	2013	1256
chr13	28870304	31181636	113566686	+	1148-	19954995	22266632	104682809	99.924164	99.9041	99.81913	2308517	1752	208	256	1063	1368
chr13	31181636	34202828	113566686	+	1148-	22272787	25294806	104682809	99.92937	99.911766	99.81999	3017818	2133	257	275	1241	2068
chr13	34209070	45681743	113566686	+	1148-	25294806	36772341	104682809	99.92035	99.899185	99.75231	11456315	9132	1211	1218	7226	12088
chr13	17490594	17514549	113566686	+	1148-	8604345	8626235	104682809	96.01616	95.83816	85.070755	20679	858	23	17	2418	353
chr13	17526432	17990162	113566686	+	1148-	8626235	9088739	104682809	99.7037	99.67091	99.23762	460663	1369	76	76	1698	472
chr13	17996929	25688148	113566686	+	1148-	9088739	16776671	104682809	99.887	99.85911	99.593796	7669597	8676	1090	1055	12946	9659
chr13	11021903	11187415	113566686	+	1148-	2723502	2895312	104682809	99.48587	99.42085	95.41025	164285	849	59	49	378	6676
chr13	11187415	11639529	113566686	+	1148-	2968290	3421987	104682809	99.853676	99.82778	99.037964	450388	660	70	47	1066	2649
chr13	11696096	11741658	113566686	+	1148-	3421987	3467583	104682809	99.60644	99.54734	99.18338	45303	179	14	13	80	114
chr13	11741658	11943392	113566686	+	1148-	3478017	3677164	104682809	99.757385	99.71212	97.60544	197774	481	51	39	3479	892
chr13	11943392	12369056	113566686	+	1148-	3684086	4089938	104682809	99.42855	99.38835	94.62253	403144	2317	86	78	20203	391
chr13	12385969	12414125	113566686	+	1148-	4089938	4118128	104682809	96.25049	96.15822	96.00482	27082	1055	14	13	19	53
chr13	12435249	13819353	113566686	+	1148-	4118128	5506151	104682809	99.85774	99.821	98.971016	1377919	1963	261	247	4222	8141
chr13	13834917	13957185	113566686	+	1148-	5506151	5628770	104682809	97.7419	97.463554	94.61794	117735	2720	178	166	1813	2164
chr21	5600916	6676200	45090682	+	1148-	0	1072626	104682809	99.96839	99.95674	99.66335	1071975	339	61	64	2970	312
chr21	6676200	7970251	45090682	+	1148-	1101303	2391324	104682809	99.899635	99.86503	99.15812	1285931	1292	198	248	6828	2798
chr21	7976282	8065634	45090682	+	1148-	2391324	2479114	104682809	98.581276	98.399284	95.25263	85815	1235	71	90	2302	740
chr13	111546035	111556675	113566686	+	1148-	102651812	102664661	104682809	98.52913	98.46373	80.17142	10383	155	1	6	102	2311
chr13	111556675	113269976	113566686	+	1148-	102677545	104389237	104682809	99.86884	99.83701	98.80412	1701085	2234	288	255	9982	8373
chr13	25688296	26280925	113566686	+	1148-	16777483	17370960	104682809	99.88831	99.85891	99.1737	590264	660	100	74	1705	2553
chr21	10973195	11216834	45090682	+	1148-	7388317	7637179	104682809	99.02691	98.999794	94.87987	238639	2345	15	51	2655	7878
chr21	10969375	11285782	45090682	+	1148-	7637179	7955274	104682809	98.88789	98.85342	96.00611	309084	3476	40	69	3847	5535
chr21	10978158	11133312	45090682	+	1148-	7234378	7388317	104682809	99.00805	98.97769	97.33928	151713	1520	23	24	1921	706
chr21	10984786	11287747	45090682	+	1148-	7955274	8273099	104682809	98.86652	98.83301	91.183525	294469	3376	28	73	5116	19980
chr21	10964367	11087261	45090682	+	1148-	7108929	7231294	104682809	98.171074	98.1248	92.16212	116586	2172	30	26	4136	3607
chr21	10996444	11282894	45090682	+	1148-	6936914	7234378	104682809	98.10867	98.060234	91.254906	276068	5322	55	84	5060	16074
chr13	113273812	113564449	113566686	+	1148-	104392997	104682809	104682809	99.908394	99.86889	98.52352	287935	264	50	64	2438	1613
chr21	10990491	11182830	45090682	+	1148-	8273099	8467160	104682809	98.29416	98.22679	87.75521	179147	3109	55	70	10083	11805
chr21	11109019	11293056	45090682	+	1148-	6224108	6417730	104682809	97.51164	97.43919	87.74361	174422	4451	45	88	5164	14749
chr21	10981552	11108000	45090682	+	1148-	6094725	6224108	104682809	97.82444	97.76315	90.32794	120147	2672	33	44	3629	6564
chr21	10973709	11038089	45090682	+	1148-	6871523	6936739	104682809	98.260185	98.24785	94.941666	62577	1108	6	2	695	1531
chr21	10988526	11022072	45090682	+	1148-	6698203	6732587	104682809	98.22569	98.20488	92.94617	32441	586	4	3	519	1357
chr13	14356700	14405486	113566686	+	1148-	6024476	6072957	104682809	97.15252	97.06316	89.75256	45378	1330	23	20	2078	1773
chr21	10982789	11011109	45090682	+	1148-	6843215	6871523	104682809	98.1348	98.124405	98.09322	27780	528	3	0	12	0
chr21	10984929	11009239	45090682	+	1148-	6645484	6670808	104682809	98.31937	98.294395	89.28571	23225	397	3	3	688	1702
chr21	11265674	11293025	45090682	+	1148-	6568814	6597503	104682809	98.49139	98.450745	89.28997	26245	402	7	4	704	2042
chr13	17480780	17502750	113566686	+	1148-	6549206	6568814	104682809	97.55973	97.42544	86.90314	19110	478	13	14	2382	20
chr21	10988669	11009239	45090682	+	1148-	6624914	6645484	104682809	98.215675	98.201355	98.19658	20201	367	1	2	2	2
chr21	10984929	11009491	45090682	+	1148-	6793346	6816889	104682809	98.25843	98.24591	94.174164	23132	410	2	1	1020	1
chr21	10984501	11010839	45090682	+	1148-	6816889	6843215	104682809	98.20709	98.19591	98.16235	25854	472	3	0	12	0
chr21	10984929	11012836	45090682	+	1148-	6670808	6698203	104682809	97.648445	97.61258	94.62366	26576	640	5	5	691	179
chr21	11005499	11014849	45090682	+	1148-	6615564	6624914	104682809	98.31016	98.31016	98.31016	9192	158	0	0	0	0
chr21	10980355	11005914	45090682	+	1148-	6523666	6549206	104682809	98.29073	98.25492	91.88565	24267	422	8	1	870	851
